,Substance,Source,Specific_Measure,Type_Event,Region,PRUID,Time_Period,Year_Quarter,Aggregator,Disaggregator,Unit,Value,Country
218,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2017,,,Number,106,Canada
219,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2018,,,Number,93,Canada
220,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2019,,,Number,62,Canada
221,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2020,,,Number,233,Canada
222,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2021,,,Number,286,Canada
223,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2022,,,Number,287,Canada
224,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2023,,,Number,330,Canada
225,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2024 (Jan to Jun),,,Number,198,Canada
269,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2016,,,Number,867,Canada
270,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2017,,,Number,1265,Canada
271,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2018,,,Number,1511,Canada
272,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2019,,,Number,1560,Canada
273,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2020,,,Number,2464,Canada
274,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2021,,,Number,2861,Canada
275,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2022,,,Number,2534,Canada
276,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2023,,,Number,2647,Canada
277,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2024 (Jan to Jun),,,Number,1258,Canada
321,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2016,,,Number,263,Canada
322,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2017,,,Number,280,Canada
323,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2018,,,Number,211,Canada
324,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2019,,,Number,213,Canada
325,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2020,,,Number,321,Canada
326,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2021,,,Number,293,Canada
327,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2022,,,Number,540,Canada
328,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2023,,,Number,536,Canada
329,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2024 (Jan to Jun),,,Number,319,Canada
373,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,2016,,,Number,34,Canada
374,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,2017,,,Number,38,Canada
375,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,2018,,,Number,30,Canada
376,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,2019,,,Number,35,Canada
377,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,2020,,,Number,45,Canada
378,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,2021,,,Number,47,Canada
379,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,2022,,,Number,77,Canada
380,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,2023,,,Number,98,Canada
381,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,New Brunswick,13,By year,2024 (Jan to Jun),,,Number,19,Canada
425,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nova Scotia,12,By year,2016,,,Number,53,Canada
426,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nova Scotia,12,By year,2017,,,Number,64,Canada
427,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,,,Number,55,Canada
428,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,,,Number,56,Canada
429,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,,,Number,49,Canada
430,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nova Scotia,12,By year,2021,,,Number,40,Canada
431,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nova Scotia,12,By year,2022,,,Number,62,Canada
432,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nova Scotia,12,By year,2023,,,Number,73,Canada
433,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nova Scotia,12,By year,2024 (Jan to Jun),,,Number,38,Canada
477,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Prince Edward Island,11,By year,2016,,,Number,5,Canada
478,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Prince Edward Island,11,By year,2017,,,Number,5,Canada
479,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Prince Edward Island,11,By year,2018,,,Number,8,Canada
480,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Prince Edward Island,11,By year,2019,,,Number,5,Canada
481,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,,,Number,8,Canada
482,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Prince Edward Island,11,By year,2021,,,Number,12,Canada
483,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Prince Edward Island,11,By year,2022,,,Number,6,Canada
484,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Prince Edward Island,11,By year,2023,,,Number,7,Canada
485,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Prince Edward Island,11,By year,2024 (Jan to Jun),,,Number,5,Canada
529,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2016,,,Number,18,Canada
530,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2017,,,Number,33,Canada
531,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2018,,,Number,12,Canada
532,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2019,,,Number,18,Canada
533,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,,,Number,24,Canada
534,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2021,,,Number,27,Canada
535,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2022,,,Number,30,Canada
536,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2023,,,Number,37,Canada
537,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2024 (Jan to Jun),,,Number,23,Canada
581,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Yukon,60,By year,2016,,,Number,7,Canada
582,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Yukon,60,By year,2017,,,Number,7,Canada
583,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Yukon,60,By year,2018,,,Number,5,Canada
584,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Yukon,60,By year,2019,,,Number,4,Canada
585,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Yukon,60,By year,2020,,,Number,10,Canada
586,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Yukon,60,By year,2021,,,Number,23,Canada
587,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Yukon,60,By year,2022,,,Number,19,Canada
588,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Yukon,60,By year,2023,,,Number,17,Canada
589,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Yukon,60,By year,2024 (Jan to Jun),,,Number,5,Canada
633,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Northwest Territories,61,By year,2016,,,Number,5,Canada
634,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Northwest Territories,61,By year,2017,,,Number,1,Canada
635,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Northwest Territories,61,By year,2018,,,Number,2,Canada
636,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Northwest Territories,61,By year,2019,,,Number,1,Canada
637,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Northwest Territories,61,By year,2020,,,Number,3,Canada
638,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Northwest Territories,61,By year,2021,,,Number,4,Canada
639,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Northwest Territories,61,By year,2022,,,Number,7,Canada
640,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Northwest Territories,61,By year,2023,,,Number,3,Canada
641,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Northwest Territories,61,By year,2024 (Jan to Jun),,,Number,2,Canada
685,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nunavut,62,By year,2016,,,Number,0,Canada
686,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nunavut,62,By year,2017,,,Number,0,Canada
687,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nunavut,62,By year,2018,,,Number,0,Canada
688,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nunavut,62,By year,2019,,,Number,Suppr.,Canada
689,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nunavut,62,By year,2020,,,Number,Suppr.,Canada
690,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nunavut,62,By year,2021,,,Number,Suppr.,Canada
691,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nunavut,62,By year,2022,,,Number,Suppr.,Canada
692,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nunavut,62,By year,2023,,,Number,0,Canada
693,Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Nunavut,62,By year,2024 (Jan to Jun),,,Number,,Canada
789,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,British Columbia,59,By year,2016,,,Number,791,Canada
790,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,British Columbia,59,By year,2017,,,Number,1277,Canada
791,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,British Columbia,59,By year,2018,,,Number,1365,Canada
792,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,British Columbia,59,By year,2019,,,Number,980,Canada
793,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,British Columbia,59,By year,2020,,,Number,1768,Canada
794,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,British Columbia,59,By year,2021,,,Number,2281,Canada
795,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,British Columbia,59,By year,2022,,,Number,2368,Canada
796,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,British Columbia,59,By year,2023,,,Number,2558,Canada
797,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,British Columbia,59,By year,2024 (Jan to Jun),,,Number,1181,Canada
841,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Alberta,48,By year,2016,,,Number,547,Canada
842,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Alberta,48,By year,2017,,,Number,683,Canada
843,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Alberta,48,By year,2018,,,Number,799,Canada
844,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Alberta,48,By year,2019,,,Number,619,Canada
845,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Alberta,48,By year,2020,,,Number,1172,Canada
846,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Alberta,48,By year,2021,,,Number,1628,Canada
847,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Alberta,48,By year,2022,,,Number,1511,Canada
848,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Alberta,48,By year,2023,,,Number,1854,Canada
849,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Alberta,48,By year,2024 (Jan to Jun),,,Number,618,Canada
893,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Saskatchewan,47,By year,2016,,,Number,76,Canada
894,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Saskatchewan,47,By year,2017,,,Number,74,Canada
895,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Saskatchewan,47,By year,2018,,,Number,105,Canada
896,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Saskatchewan,47,By year,2019,,,Number,107,Canada
897,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Saskatchewan,47,By year,2020,,,Number,237,Canada
898,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Saskatchewan,47,By year,2021,,,Number,316,Canada
899,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Saskatchewan,47,By year,2022,,,Number,281,Canada
900,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Saskatchewan,47,By year,2023,,,Number,311,Canada
901,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Saskatchewan,47,By year,2024 (Jan to Jun),,,Number,97,Canada
945,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Manitoba,46,By year,2016,,,Number,61,Canada
946,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Manitoba,46,By year,2017,,,Number,87,Canada
947,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Manitoba,46,By year,2018,,,Number,78,Canada
948,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Manitoba,46,By year,2019,,,Number,54,Canada
949,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Manitoba,46,By year,2020,,,Number,225,Canada
950,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Manitoba,46,By year,2021,,,Number,269,Canada
951,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Manitoba,46,By year,2022,,,Number,248,Canada
952,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Manitoba,46,By year,2023,,,Number,229,Canada
953,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Manitoba,46,By year,2024 (Jan to Jun),,,Number,68,Canada
997,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Ontario,35,By year,2016,,,Number,726,Canada
998,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Ontario,35,By year,2017,,,Number,1127,Canada
999,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Ontario,35,By year,2018,,,Number,1342,Canada
1000,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Ontario,35,By year,2019,,,Number,1434,Canada
1001,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Ontario,35,By year,2020,,,Number,2331,Canada
1002,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Ontario,35,By year,2021,,,Number,2721,Canada
1003,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Ontario,35,By year,2022,,,Number,2373,Canada
1004,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Ontario,35,By year,2023,,,Number,2523,Canada
1005,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Ontario,35,By year,2024 (Jan to Jun),,,Number,1204,Canada
1049,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2016,,,Number,176,Canada
1050,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2017,,,Number,185,Canada
1051,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2018,,,Number,149,Canada
1052,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2019,,,Number,162,Canada
1053,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2020,,,Number,231,Canada
1054,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2021,,,Number,214,Canada
1055,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2022,,,Number,540,Canada
1056,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2023,,,Number,536,Canada
1057,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Quebec,24,By year,2024 (Jan to Jun),,,Number,319,Canada
1101,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2016,,,Number,27,Canada
1102,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2017,,,Number,32,Canada
1103,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2018,,,Number,23,Canada
1104,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2019,,,Number,27,Canada
1105,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2020,,,Number,38,Canada
1106,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2021,,,Number,42,Canada
1107,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2022,,,Number,68,Canada
1108,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2023,,,Number,95,Canada
1109,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,New Brunswick,13,By year,2024 (Jan to Jun),,,Number,19,Canada
1153,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2016,,,Number,40,Canada
1154,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2017,,,Number,58,Canada
1155,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2018,,,Number,50,Canada
1156,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2019,,,Number,43,Canada
1157,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2020,,,Number,41,Canada
1158,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2021,,,Number,33,Canada
1159,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2022,,,Number,47,Canada
1160,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2023,,,Number,65,Canada
1161,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Nova Scotia,12,By year,2024 (Jan to Jun),,,Number,34,Canada
1205,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2016,,,Number,5,Canada
1206,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2017,,,Number,5,Canada
1207,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2018,,,Number,8,Canada
1208,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2019,,,Number,5,Canada
1209,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2020,,,Number,8,Canada
1210,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2021,,,Number,12,Canada
1211,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2022,,,Number,6,Canada
1212,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2023,,,Number,7,Canada
1213,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Prince Edward Island,11,By year,2024 (Jan to Jun),,,Number,5,Canada
1257,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2016,,,Number,13,Canada
1258,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2017,,,Number,23,Canada
1259,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2018,,,Number,10,Canada
1260,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2019,,,Number,13,Canada
1261,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2020,,,Number,19,Canada
1262,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2021,,,Number,24,Canada
1263,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2022,,,Number,23,Canada
1264,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2023,,,Number,35,Canada
1265,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Newfoundland and Labrador,10,By year,2024 (Jan to Jun),,,Number,19,Canada
1309,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2016,,,Number,5,Canada
1310,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2017,,,Number,6,Canada
1311,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2018,,,Number,4,Canada
1312,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2019,,,Number,4,Canada
1313,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2020,,,Number,10,Canada
1314,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2021,,,Number,23,Canada
1315,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2022,,,Number,19,Canada
1316,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2023,,,Number,17,Canada
1317,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Yukon,60,By year,2024 (Jan to Jun),,,Number,5,Canada
1361,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2016,,,Number,4,Canada
1362,Opioids,Deaths,Overall numbers,Accidental apparent opioid toxicity deaths,Northwest Territories,61,By year,2017,,,Number,1,Canada
